#psi, P, q
8.593750000000000000e-02 1.940895445000000109e+04 1.072759744000000071e+00
8.789062500000000000e-02 1.937956497999999920e+04 1.074172225000000092e+00
8.984374999999998612e-02 1.935051208000000042e+04 1.075580800000000004e+00
9.179687500000001388e-02 1.932178863999999885e+04 1.076985848999999940e+00
9.375000000000000000e-02 1.929338567999999941e+04 1.078387675000000101e+00
9.570312500000000000e-02 1.926528188999999838e+04 1.079786587000000075e+00
9.765625000000000000e-02 1.923745345000000088e+04 1.081182882000000012e+00
9.960937500000000000e-02 1.920989961000000039e+04 1.082576750999999948e+00
1.015625000000000000e-01 1.918261101000000053e+04 1.083968406999999967e+00
1.035156249999999861e-01 1.915556764000000112e+04 1.085358100000000103e+00
1.054687500000000139e-01 1.912874653000000035e+04 1.086746089000000026e+00
1.074218750000000000e-01 1.910214330999999947e+04 1.088132531000000069e+00
1.093750000000000000e-01 1.907575692999999956e+04 1.089517609000000053e+00
1.113281250000000000e-01 1.904956688999999824e+04 1.090901700000000085e+00
1.132812500000000000e-01 1.902355824999999822e+04 1.092285093000000096e+00
1.152343750000000000e-01 1.899772298999999839e+04 1.093667994999999893e+00
1.171874999999999861e-01 1.897205588999999964e+04 1.095050619000000003e+00
1.191406250000000139e-01 1.894654434000000037e+04 1.096433205000000077e+00
1.210937500000000000e-01 1.892117089000000124e+04 1.097816004000000012e+00
1.230468750000000000e-01 1.889593304999999964e+04 1.099199188999999910e+00
1.250000000000000000e-01 1.887082666999999856e+04 1.100582900999999891e+00
1.269531250000000000e-01 1.884583654999999999e+04 1.101967271999999998e+00
1.289062500000000000e-01 1.882095237999999881e+04 1.103352469999999919e+00
1.308593750000000000e-01 1.879616799000000174e+04 1.104738696999999936e+00
1.328125000000000000e-01 1.877147741999999926e+04 1.106126208000000055e+00
1.347656250000000000e-01 1.874687203999999838e+04 1.107515250999999923e+00
1.367187500000000000e-01 1.872233923000000141e+04 1.108906052000000031e+00
1.386718750000000000e-01 1.869787324000000081e+04 1.110298787999999925e+00
1.406250000000000000e-01 1.867347238999999900e+04 1.111693601999999892e+00
1.425781250000000000e-01 1.864912672999999995e+04 1.113090652999999985e+00
1.445312500000000000e-01 1.862482627000000139e+04 1.114490090999999961e+00
1.464843750000000000e-01 1.860056835000000137e+04 1.115892040000000085e+00
1.484375000000000000e-01 1.857634816000000137e+04 1.117296634999999982e+00
1.503906250000000000e-01 1.855215631999999823e+04 1.118704031000000043e+00
1.523437500000000000e-01 1.852798674000000028e+04 1.120114419000000083e+00
1.542968750000000000e-01 1.850383597000000009e+04 1.121528016999999933e+00
1.562500000000000000e-01 1.847969839000000138e+04 1.122945032000000065e+00
1.582031250000000000e-01 1.845556742999999915e+04 1.124365652999999909e+00
1.601562500000000000e-01 1.843143690000000061e+04 1.125790016999999921e+00
1.621093750000000000e-01 1.840730141000000003e+04 1.127218239000000066e+00
1.640625000000000000e-01 1.838315741999999955e+04 1.128650434000000091e+00
1.660156250000000000e-01 1.835900082000000111e+04 1.130086718999999906e+00
1.679687500000000000e-01 1.833482540000000154e+04 1.131527230999999967e+00
1.699218750000000000e-01 1.831062614000000031e+04 1.132972099000000066e+00
